insecticide,ls_theta,ls_gamma,ks_theta,ks_gamma,ms_theta,ms_gamma
ddt,1.979,-0.014,-2.519,0.012,-2.651,0.004
actellic,2.025,-0.009,-2.222,0.008,-1.232,-0.009
bendiocarb,1.095,-0.025,-1.278,0.02,-1.697,-0.025
sumishield,0.792,-0.007,-1.382,0.009,-0.458,-0.007
