pyrethroid_resistance,bioassay_mortality,dn0,rn0,gamman,rnm,net_type
0.26,0.74,0.475000671,0.519522457,3.481948948,0.24,pyrethroid_pbo
0.27,0.73,0.473793845,0.520641254,3.466882676,0.24,pyrethroid_pbo
0.28,0.72,0.472399315,0.521933059,3.451589931,0.24,pyrethroid_pbo
0.29,0.71,0.471029381,0.523201019,3.436287996,0.24,pyrethroid_pbo
0.3,0.7,0.469612621,0.524511204,3.421087102,0.24,pyrethroid_pbo
0.31,0.69,0.468175214,0.525839313,3.405005118,0.24,pyrethroid_pbo
0.32,0.68,0.466831582,0.5270797,3.390117435,0.24,pyrethroid_pbo
0.33,0.67,0.465781751,0.528048131,3.373371203,0.24,pyrethroid_pbo
0.34,0.66,0.464773023,0.528978037,3.355821355,0.24,pyrethroid_pbo
0.35,0.65,0.463629838,0.530031164,3.337963206,0.24,pyrethroid_pbo
0.36,0.64,0.462782985,0.530810808,3.319533648,0.24,pyrethroid_pbo
0.37,0.63,0.461580107,0.531917478,3.301863687,0.24,pyrethroid_pbo
0.38,0.62,0.46054381,0.53287019,3.284390806,0.24,pyrethroid_pbo
0.39,0.61,0.459365454,0.533952708,3.266453134,0.24,pyrethroid_pbo
0.4,0.6,0.45813067,0.535086153,3.247227742,0.24,pyrethroid_pbo
0.41,0.59,0.45716463,0.535972237,3.228346374,0.24,pyrethroid_pbo
0.42,0.58,0.455676564,0.537336038,3.209531819,0.24,pyrethroid_pbo
0.43,0.57,0.454271873,0.538622136,3.190992965,0.24,pyrethroid_pbo
0.44,0.56,0.452834545,0.539936814,3.171628515,0.24,pyrethroid_pbo
0.45,0.55,0.451043864,0.541572839,3.151543773,0.24,pyrethroid_pbo
0.46,0.54,0.449610343,0.54288105,3.130337231,0.24,pyrethroid_pbo
0.47,0.53,0.447861949,0.544474781,3.10983362,0.24,pyrethroid_pbo
0.48,0.52,0.44621825,0.545971226,3.089818922,0.24,pyrethroid_pbo
0.49,0.51,0.444615259,0.547428859,3.068241954,0.24,pyrethroid_pbo
0.5,0.5,0.442167545,0.54965124,3.046509639,0.24,pyrethroid_pbo
0.51,0.49,0.440395196,0.55125785,3.024243864,0.24,pyrethroid_pbo
0.52,0.48,0.438648674,0.552838897,3.001260544,0.24,pyrethroid_pbo
0.53,0.47,0.436621165,0.554671595,2.979600521,0.24,pyrethroid_pbo
0.54,0.46,0.434589081,0.556505466,2.95746957,0.24,pyrethroid_pbo
0.55,0.45,0.432933948,0.557996932,2.935075612,0.24,pyrethroid_pbo
0.56,0.44,0.431165912,0.559587908,2.912506981,0.24,pyrethroid_pbo
0.57,0.43,0.429418198,0.561158305,2.888900742,0.24,pyrethroid_pbo
0.58,0.42,0.427627908,0.562764562,2.863531528,0.24,pyrethroid_pbo
0.59,0.41,0.425360407,0.56479547,2.841725184,0.24,pyrethroid_pbo
0.6,0.4,0.423055326,0.566855935,2.817649717,0.24,pyrethroid_pbo
0.61,0.39,0.42066898,0.568984639,2.792985107,0.24,pyrethroid_pbo
0.62,0.38,0.417802932,0.57153521,2.769641675,0.24,pyrethroid_pbo
0.63,0.37,0.415127741,0.573909878,2.744405965,0.24,pyrethroid_pbo
0.64,0.36,0.41286119,0.575917164,2.718878579,0.24,pyrethroid_pbo
0.65,0.35,0.410829262,0.577712975,2.689538185,0.24,pyrethroid_pbo
0.66,0.34,0.408546081,0.579726621,2.66121156,0.24,pyrethroid_pbo
0.67,0.33,0.405650806,0.582273538,2.635071538,0.24,pyrethroid_pbo
0.68,0.32,0.403119856,0.584493957,2.608738294,0.24,pyrethroid_pbo
0.69,0.31,0.400007396,0.587216561,2.580731424,0.24,pyrethroid_pbo
0.7,0.3,0.396906148,0.589920485,2.55448854,0.24,pyrethroid_pbo
0.71,0.29,0.392839969,0.593451998,2.526021723,0.24,pyrethroid_pbo
0.72,0.28,0.389893397,0.596001145,2.495607263,0.24,pyrethroid_pbo
0.73,0.27,0.386267453,0.599126349,2.46381972,0.24,pyrethroid_pbo
0.74,0.26,0.381861812,0.602905674,2.431122097,0.24,pyrethroid_pbo
0.75,0.25,0.376690415,0.60731613,2.403748874,0.24,pyrethroid_pbo
0.76,0.24,0.372280449,0.611054605,2.372886263,0.24,pyrethroid_pbo
0.77,0.23,0.368675627,0.614094581,2.334757652,0.24,pyrethroid_pbo
0.78,0.22,0.364053447,0.617970941,2.300954314,0.24,pyrethroid_pbo
0.79,0.21,0.359789409,0.621524971,2.267089168,0.24,pyrethroid_pbo
0.8,0.2,0.356111451,0.624573016,2.228001237,0.24,pyrethroid_pbo
0.81,0.19,0.350343665,0.629319463,2.198686134,0.24,pyrethroid_pbo
0.82,0.18,0.344249605,0.63428844,2.163700526,0.24,pyrethroid_pbo
0.83,0.17,0.337490391,0.63974232,2.1292318,0.24,pyrethroid_pbo
0.84,0.16,0.332236162,0.643938519,2.098704602,0.24,pyrethroid_pbo
0.85,0.15,0.325298524,0.649418692,2.06365252,0.24,pyrethroid_pbo
0.86,0.14,0.318137399,0.655000478,2.031218166,0.24,pyrethroid_pbo
0.87,0.13,0.311203519,0.66032929,1.99408783,0.24,pyrethroid_pbo
0.88,0.12,0.303656388,0.66604081,1.959474715,0.24,pyrethroid_pbo
0.89,0.11,0.293955194,0.673240117,1.915992523,0.24,pyrethroid_pbo
0.9,0.1,0.284203554,0.680306576,1.873093358,0.24,pyrethroid_pbo
0.91,0.09,0.273758764,0.687674549,1.831884018,0.24,pyrethroid_pbo
0.92,0.08,0.262194729,0.695574368,1.793858418,0.24,pyrethroid_pbo
0.93,0.07,0.250036723,0.7035682,1.753694201,0.24,pyrethroid_pbo
0.94,0.06,0.237016388,0.711749222,1.713752421,0.24,pyrethroid_pbo
0.95,0.05,0.22210792,0.72059693,1.674030891,0.24,pyrethroid_pbo
0.96,0.04,0.206700646,0.729109423,1.637731782,0.24,pyrethroid_pbo
0.97,0.03,0.187044097,0.738950562,1.599832779,0.24,pyrethroid_pbo
0.98,0.02,0.165023774,0.748473629,1.554293974,0.24,pyrethroid_pbo
0.99,0.01,0.138599519,0.757542702,1.513101475,0.24,pyrethroid_pbo
1,0,0.083027008,0.76655249,1.406975516,0.24,pyrethroid_pbo
0,1,0.541979954,0.456350279,3.808714908,0.24,pyrethroid_pyrrole
0.01,0.99,0.541651297,0.456664648,3.800714261,0.24,pyrethroid_pyrrole
0.02,0.98,0.541324479,0.456977218,3.792666126,0.24,pyrethroid_pyrrole
0.03,0.97,0.540872054,0.457409861,3.784574122,0.24,pyrethroid_pyrrole
0.04,0.96,0.540552166,0.457715721,3.776436258,0.24,pyrethroid_pyrrole
0.05,0.95,0.540188642,0.45806326,3.768251929,0.24,pyrethroid_pyrrole
0.06,0.94,0.539772698,0.458460858,3.760016463,0.24,pyrethroid_pyrrole
0.07,0.93,0.539348846,0.458865955,3.751703345,0.24,pyrethroid_pyrrole
0.08,0.92,0.539014226,0.459185724,3.74336729,0.24,pyrethroid_pyrrole
0.09,0.91,0.538654615,0.459529333,3.735024193,0.24,pyrethroid_pyrrole
0.1,0.9,0.538272663,0.459894238,3.726640792,0.24,pyrethroid_pyrrole
0.11,0.89,0.53788249,0.460266946,3.718216613,0.24,pyrethroid_pyrrole
0.12,0.88,0.53745876,0.460671643,3.70975117,0.24,pyrethroid_pyrrole
0.13,0.87,0.537082946,0.461030534,3.701243969,0.24,pyrethroid_pyrrole
0.14,0.86,0.536623534,0.461469184,3.692680487,0.24,pyrethroid_pyrrole
0.15,0.85,0.536037473,0.462028653,3.684058152,0.24,pyrethroid_pyrrole
0.16,0.84,0.535525942,0.462516876,3.675454274,0.24,pyrethroid_pyrrole
0.17,0.83,0.535092407,0.462930585,3.66678725,0.24,pyrethroid_pyrrole
0.18,0.82,0.534722817,0.463283218,3.658063406,0.24,pyrethroid_pyrrole
0.19,0.81,0.534291482,0.463694703,3.649291644,0.24,pyrethroid_pyrrole
0.2,0.8,0.533883748,0.464083611,3.640480181,0.24,pyrethroid_pyrrole
0.21,0.79,0.533321932,0.46461939,3.631490341,0.24,pyrethroid_pyrrole
0.22,0.78,0.532888542,0.465032618,3.622484037,0.24,pyrethroid_pyrrole
0.23,0.77,0.532355949,0.465540336,3.613530691,0.24,pyrethroid_pyrrole
0.24,0.76,0.531874399,0.465999315,3.604320876,0.24,pyrethroid_pyrrole
0.25,0.75,0.531348373,0.466500584,3.594943925,0.24,pyrethroid_pyrrole
0.26,0.74,0.530908582,0.466919594,3.585487149,0.24,pyrethroid_pyrrole
0.27,0.73,0.530322763,0.467477632,3.576064209,0.24,pyrethroid_pyrrole
0.28,0.72,0.529806113,0.467969673,3.566818644,0.24,pyrethroid_pyrrole
0.29,0.71,0.529242645,0.46850619,3.557536414,0.24,pyrethroid_pyrrole
0.3,0.7,0.528749842,0.468975325,3.548203853,0.24,pyrethroid_pyrrole
0.31,0.69,0.528271992,0.469430138,3.538820239,0.24,pyrethroid_pyrrole
0.32,0.68,0.527638515,0.470032945,3.529117823,0.24,pyrethroid_pyrrole
0.33,0.67,0.526927202,0.470709639,3.518904652,0.24,pyrethroid_pyrrole
0.34,0.66,0.526102312,0.471494144,3.509290971,0.24,pyrethroid_pyrrole
0.35,0.65,0.525217318,0.472335523,3.499840628,0.24,pyrethroid_pyrrole
0.36,0.64,0.524754979,0.472774957,3.490348261,0.24,pyrethroid_pyrrole
0.37,0.63,0.524507433,0.473010206,3.480224288,0.24,pyrethroid_pyrrole
0.38,0.62,0.523960473,0.473529911,3.470430022,0.24,pyrethroid_pyrrole
0.39,0.61,0.523251799,0.474203096,3.460299795,0.24,pyrethroid_pyrrole
0.4,0.6,0.522145798,0.475253333,3.450028642,0.24,pyrethroid_pyrrole
0.41,0.59,0.521362341,0.475996994,3.439919443,0.24,pyrethroid_pyrrole
0.42,0.58,0.520555542,0.476762564,3.429410748,0.24,pyrethroid_pyrrole
0.43,0.57,0.520044974,0.477246905,3.418440038,0.24,pyrethroid_pyrrole
0.44,0.56,0.519125375,0.478119008,3.407391068,0.24,pyrethroid_pyrrole
0.45,0.55,0.518477345,0.478733365,3.396652839,0.24,pyrethroid_pyrrole
0.46,0.54,0.517538602,0.479623029,3.385819166,0.24,pyrethroid_pyrrole
0.47,0.53,0.516699861,0.480417618,3.374887791,0.24,pyrethroid_pyrrole
0.48,0.52,0.515825877,0.48124529,3.364045685,0.24,pyrethroid_pyrrole
0.49,0.51,0.514822995,0.482194646,3.353632768,0.24,pyrethroid_pyrrole
0.5,0.5,0.513938923,0.483031188,3.343160861,0.24,pyrethroid_pyrrole
0.51,0.49,0.513014281,0.483905772,3.332371261,0.24,pyrethroid_pyrrole
0.52,0.48,0.512008823,0.48485639,3.321276926,0.24,pyrethroid_pyrrole
0.53,0.47,0.510900445,0.485903824,3.310029957,0.24,pyrethroid_pyrrole
0.54,0.46,0.509595449,0.487136395,3.298886401,0.24,pyrethroid_pyrrole
0.55,0.45,0.508358549,0.488303975,3.287782063,0.24,pyrethroid_pyrrole
0.56,0.44,0.507137824,0.489455639,3.276494122,0.24,pyrethroid_pyrrole
0.57,0.43,0.505916239,0.490607463,3.264575744,0.24,pyrethroid_pyrrole
0.58,0.42,0.504655305,0.491795702,3.25359775,0.24,pyrethroid_pyrrole
0.59,0.41,0.503503423,0.492880558,3.24186668,0.24,pyrethroid_pyrrole
0.6,0.4,0.502569894,0.493759329,3.229876517,0.24,pyrethroid_pyrrole
0.61,0.39,0.501144391,0.495100462,3.217115857,0.24,pyrethroid_pyrrole
0.62,0.38,0.499672297,0.496484455,3.204062844,0.24,pyrethroid_pyrrole
0.63,0.37,0.498341373,0.497734867,3.192175037,0.24,pyrethroid_pyrrole
0.64,0.36,0.49679013,0.499191235,3.179437363,0.24,pyrethroid_pyrrole
0.65,0.35,0.494712803,0.501139735,3.16691239,0.24,pyrethroid_pyrrole
0.66,0.34,0.49327425,0.50248787,3.154737153,0.24,pyrethroid_pyrrole
0.67,0.33,0.491804738,0.503863988,3.142951624,0.24,pyrethroid_pyrrole
0.68,0.32,0.490287345,0.505283839,3.1308941,0.24,pyrethroid_pyrrole
0.69,0.31,0.488530693,0.506926153,3.11829197,0.24,pyrethroid_pyrrole
0.7,0.3,0.486772082,0.508568756,3.104749139,0.24,pyrethroid_pyrrole
0.71,0.29,0.484882202,0.510332227,3.090275167,0.24,pyrethroid_pyrrole
0.72,0.28,0.482566415,0.512490619,3.075564086,0.24,pyrethroid_pyrrole
0.73,0.27,0.4801479,0.514741782,3.060791698,0.24,pyrethroid_pyrrole
0.74,0.26,0.477808146,0.516916685,3.045743,0.24,pyrethroid_pyrrole
0.75,0.25,0.47546937,0.519087731,3.031293047,0.24,pyrethroid_pyrrole
0.76,0.24,0.472952608,0.521420652,3.017474682,0.24,pyrethroid_pyrrole
0.77,0.23,0.470201556,0.52396671,3.0035319,0.24,pyrethroid_pyrrole
0.78,0.22,0.467120401,0.526813161,2.989311737,0.24,pyrethroid_pyrrole
0.79,0.21,0.464332368,0.529384071,2.975166868,0.24,pyrethroid_pyrrole
0.8,0.2,0.461617059,0.531883495,2.960183842,0.24,pyrethroid_pyrrole
0.81,0.19,0.458333188,0.53490032,2.941944834,0.24,pyrethroid_pyrrole
0.82,0.18,0.45451064,0.538403588,2.926114306,0.24,pyrethroid_pyrrole
0.83,0.17,0.450488739,0.542079593,2.911069273,0.24,pyrethroid_pyrrole
0.84,0.16,0.446181538,0.546004623,2.895256816,0.24,pyrethroid_pyrrole
0.85,0.15,0.441427394,0.55032244,2.87706778,0.24,pyrethroid_pyrrole
0.86,0.14,0.436500749,0.554780348,2.855065639,0.24,pyrethroid_pyrrole
0.87,0.13,0.431325707,0.559444204,2.835139253,0.24,pyrethroid_pyrrole
0.88,0.12,0.425479038,0.564689315,2.815501336,0.24,pyrethroid_pyrrole
0.89,0.11,0.418725016,0.570715349,2.798720487,0.24,pyrethroid_pyrrole
0.9,0.1,0.412134382,0.576559918,2.778257872,0.24,pyrethroid_pyrrole
0.91,0.09,0.403098691,0.584512502,2.76097508,0.24,pyrethroid_pyrrole
0.92,0.08,0.394473531,0.592035114,2.742429489,0.24,pyrethroid_pyrrole
0.93,0.07,0.383377403,0.601607786,2.721001382,0.24,pyrethroid_pyrrole
0.94,0.06,0.37210711,0.611201057,2.695875209,0.24,pyrethroid_pyrrole
0.95,0.05,0.359536426,0.62173515,2.673654851,0.24,pyrethroid_pyrrole
0.96,0.04,0.344913201,0.633749675,2.651732949,0.24,pyrethroid_pyrrole
0.97,0.03,0.325422692,0.649321239,2.623749341,0.24,pyrethroid_pyrrole
0.98,0.02,0.301958731,0.667312427,2.592815238,0.24,pyrethroid_pyrrole
0.99,0.01,0.269677236,0.690494479,2.554045377,0.24,pyrethroid_pyrrole
1,0,0.189975276,0.737559795,2.454098353,0.24,pyrethroid_pyrrole
