pyrethroid_resistance,bioassay_mortality,dn0,rn0,gamman,rnm,net_type
0,1,0.340773639,0.637100833,3.808714908,0.24,pyrethroid_only
0.01,0.99,0.339974021,0.637745499,3.800714261,0.24,pyrethroid_only
0.02,0.98,0.339240486,0.63833613,3.792666126,0.24,pyrethroid_only
0.03,0.97,0.33864131,0.638818047,3.784574122,0.24,pyrethroid_only
0.04,0.96,0.337831979,0.639468194,3.776436258,0.24,pyrethroid_only
0.05,0.95,0.337134116,0.640028079,3.768251929,0.24,pyrethroid_only
0.06,0.94,0.336430298,0.640592058,3.760016463,0.24,pyrethroid_only
0.07,0.93,0.335580529,0.641272074,3.751703345,0.24,pyrethroid_only
0.08,0.92,0.334821593,0.64187855,3.74336729,0.24,pyrethroid_only
0.09,0.91,0.333971126,0.642557214,3.735024193,0.24,pyrethroid_only
0.1,0.9,0.332985807,0.643342209,3.726640792,0.24,pyrethroid_only
0.11,0.89,0.331992779,0.644131955,3.718216613,0.24,pyrethroid_only
0.12,0.88,0.33106551,0.644868133,3.70975117,0.24,pyrethroid_only
0.13,0.87,0.330269597,0.645499053,3.701243969,0.24,pyrethroid_only
0.14,0.86,0.329363341,0.646216323,3.692680487,0.24,pyrethroid_only
0.15,0.85,0.328600753,0.646818971,3.684058152,0.24,pyrethroid_only
0.16,0.84,0.327732444,0.647504127,3.675454274,0.24,pyrethroid_only
0.17,0.83,0.326725996,0.648296903,3.66678725,0.24,pyrethroid_only
0.18,0.82,0.325825504,0.649004955,3.658063406,0.24,pyrethroid_only
0.19,0.81,0.324855762,0.649766115,3.649291644,0.24,pyrethroid_only
0.2,0.8,0.323661233,0.650701785,3.640480181,0.24,pyrethroid_only
0.21,0.79,0.322437593,0.651658038,3.631490341,0.24,pyrethroid_only
0.22,0.78,0.321223404,0.652604668,3.622484037,0.24,pyrethroid_only
0.23,0.77,0.319985762,0.653567272,3.613530691,0.24,pyrethroid_only
0.24,0.76,0.318717911,0.654550935,3.604320876,0.24,pyrethroid_only
0.25,0.75,0.317830934,0.655237594,3.594943925,0.24,pyrethroid_only
0.26,0.74,0.316751987,0.656071266,3.585487149,0.24,pyrethroid_only
0.27,0.73,0.315838232,0.656775858,3.576064209,0.24,pyrethroid_only
0.28,0.72,0.315134898,0.657317308,3.566818644,0.24,pyrethroid_only
0.29,0.71,0.314031821,0.658164895,3.557536414,0.24,pyrethroid_only
0.3,0.7,0.312953291,0.658991779,3.548203853,0.24,pyrethroid_only
0.31,0.69,0.311955754,0.659754876,3.538820239,0.24,pyrethroid_only
0.32,0.68,0.310581949,0.660803229,3.529117823,0.24,pyrethroid_only
0.33,0.67,0.309379962,0.661717933,3.518904652,0.24,pyrethroid_only
0.34,0.66,0.308255531,0.662571481,3.509290971,0.24,pyrethroid_only
0.35,0.65,0.307008035,0.663516007,3.499840628,0.24,pyrethroid_only
0.36,0.64,0.305991559,0.664283706,3.490348261,0.24,pyrethroid_only
0.37,0.63,0.304659923,0.665286813,3.480224288,0.24,pyrethroid_only
0.38,0.62,0.303566875,0.666107985,3.470430022,0.24,pyrethroid_only
0.39,0.61,0.302312934,0.667047519,3.460299795,0.24,pyrethroid_only
0.4,0.6,0.301148223,0.667917791,3.450028642,0.24,pyrethroid_only
0.41,0.59,0.299909224,0.668841016,3.439919443,0.24,pyrethroid_only
0.42,0.58,0.29865749,0.669771026,3.429410748,0.24,pyrethroid_only
0.43,0.57,0.297262808,0.670804018,3.418440038,0.24,pyrethroid_only
0.44,0.56,0.295870351,0.671831955,3.407391068,0.24,pyrethroid_only
0.45,0.55,0.294411241,0.672905398,3.396652839,0.24,pyrethroid_only
0.46,0.54,0.293369627,0.67366937,3.385819166,0.24,pyrethroid_only
0.47,0.53,0.291780212,0.674831355,3.374887791,0.24,pyrethroid_only
0.48,0.52,0.289937624,0.676172677,3.364045685,0.24,pyrethroid_only
0.49,0.51,0.288608921,0.677136046,3.353632768,0.24,pyrethroid_only
0.5,0.5,0.286988556,0.678306455,3.343160861,0.24,pyrethroid_only
0.51,0.49,0.28532712,0.679501428,3.332371261,0.24,pyrethroid_only
0.52,0.48,0.283975815,0.680469506,3.321276926,0.24,pyrethroid_only
0.53,0.47,0.282628554,0.681431207,3.310029957,0.24,pyrethroid_only
0.54,0.46,0.280990736,0.682595658,3.298886401,0.24,pyrethroid_only
0.55,0.45,0.279244742,0.683831278,3.287782063,0.24,pyrethroid_only
0.56,0.44,0.277712268,0.684910834,3.276494122,0.24,pyrethroid_only
0.57,0.43,0.276360919,0.685859039,3.264575744,0.24,pyrethroid_only
0.58,0.42,0.274636928,0.687063375,3.25359775,0.24,pyrethroid_only
0.59,0.41,0.2732069,0.688057806,3.24186668,0.24,pyrethroid_only
0.6,0.4,0.271334226,0.689353832,3.229876517,0.24,pyrethroid_only
0.61,0.39,0.269445578,0.690653612,3.217115857,0.24,pyrethroid_only
0.62,0.38,0.26729802,0.692122597,3.204062844,0.24,pyrethroid_only
0.63,0.37,0.265107655,0.693610902,3.192175037,0.24,pyrethroid_only
0.64,0.36,0.262957315,0.695062102,3.179437363,0.24,pyrethroid_only
0.65,0.35,0.261354002,0.69613767,3.16691239,0.24,pyrethroid_only
0.66,0.34,0.259772377,0.697193173,3.154737153,0.24,pyrethroid_only
0.67,0.33,0.256939757,0.699069923,3.142951624,0.24,pyrethroid_only
0.68,0.32,0.254396877,0.700739541,3.1308941,0.24,pyrethroid_only
0.69,0.31,0.252222426,0.702155653,3.11829197,0.24,pyrethroid_only
0.7,0.3,0.249873012,0.703673574,3.104749139,0.24,pyrethroid_only
0.71,0.29,0.247570857,0.705148566,3.090275167,0.24,pyrethroid_only
0.72,0.28,0.245170127,0.706673475,3.075564086,0.24,pyrethroid_only
0.73,0.27,0.242181024,0.708552936,3.060791698,0.24,pyrethroid_only
0.74,0.26,0.239860736,0.709997019,3.045743,0.24,pyrethroid_only
0.75,0.25,0.237230985,0.711617737,3.031293047,0.24,pyrethroid_only
0.76,0.24,0.234169945,0.713482633,3.017474682,0.24,pyrethroid_only
0.77,0.23,0.231094174,0.715332647,3.0035319,0.24,pyrethroid_only
0.78,0.22,0.227770607,0.717304372,2.989311737,0.24,pyrethroid_only
0.79,0.21,0.22481886,0.719031296,2.975166868,0.24,pyrethroid_only
0.8,0.2,0.22172514,0.720816403,2.960183842,0.24,pyrethroid_only
0.81,0.19,0.218166305,0.722837843,2.941944834,0.24,pyrethroid_only
0.82,0.18,0.214420309,0.724927852,2.926114306,0.24,pyrethroid_only
0.83,0.17,0.2101939,0.72723844,2.911069273,0.24,pyrethroid_only
0.84,0.16,0.205681631,0.729648541,2.895256816,0.24,pyrethroid_only
0.85,0.15,0.200979719,0.732096013,2.87706778,0.24,pyrethroid_only
0.86,0.14,0.196345068,0.734443049,2.855065639,0.24,pyrethroid_only
0.87,0.13,0.191397819,0.736874872,2.835139253,0.24,pyrethroid_only
0.88,0.12,0.185511612,0.739666516,2.815501336,0.24,pyrethroid_only
0.89,0.11,0.179526272,0.742388632,2.798720487,0.24,pyrethroid_only
0.9,0.1,0.173122775,0.745166567,2.778257872,0.24,pyrethroid_only
0.91,0.09,0.166746575,0.74778988,2.76097508,0.24,pyrethroid_only
0.92,0.08,0.158990338,0.750782042,2.742429489,0.24,pyrethroid_only
0.93,0.07,0.150856876,0.753676114,2.721001382,0.24,pyrethroid_only
0.94,0.06,0.141427122,0.756705213,2.695875209,0.24,pyrethroid_only
0.95,0.05,0.130862909,0.759423306,2.673654851,0.24,pyrethroid_only
0.96,0.04,0.119982799,0.761568042,2.651732949,0.24,pyrethroid_only
0.97,0.03,0.104807617,0.762881338,2.623749341,0.24,pyrethroid_only
0.98,0.02,0.086278776,0.763658715,2.592815238,0.24,pyrethroid_only
0.99,0.01,0.062494408,0.762697444,2.554045377,0.24,pyrethroid_only
1,0,0,0.745631384,2.454098353,0.24,pyrethroid_only
0,1,0.495768797,0.500149482,3.808714908,0.24,pyrethroid_pbo
0.01,0.99,0.495277702,0.500610072,3.798085634,0.24,pyrethroid_pbo
0.02,0.98,0.494896482,0.500967529,3.787316292,0.24,pyrethroid_pbo
0.03,0.97,0.494160812,0.501657142,3.776418937,0.24,pyrethroid_pbo
0.04,0.96,0.493515051,0.502262273,3.76539648,0.24,pyrethroid_pbo
0.05,0.95,0.492746768,0.502981949,3.754232212,0.24,pyrethroid_pbo
0.06,0.94,0.492127595,0.503561732,3.742989166,0.24,pyrethroid_pbo
0.07,0.93,0.491395631,0.504246905,3.7316587,0.24,pyrethroid_pbo
0.08,0.92,0.49048774,0.505096391,3.720145734,0.24,pyrethroid_pbo
0.09,0.91,0.48956249,0.5059617,3.70848129,0.24,pyrethroid_pbo
0.1,0.9,0.488907488,0.506574013,3.696577303,0.24,pyrethroid_pbo
0.11,0.89,0.488192627,0.507242039,3.684565649,0.24,pyrethroid_pbo
0.12,0.88,0.487489934,0.507898445,3.672452726,0.24,pyrethroid_pbo
0.13,0.87,0.486774976,0.508566054,3.660102372,0.24,pyrethroid_pbo
0.14,0.86,0.485858143,0.509421791,3.647578008,0.24,pyrethroid_pbo
0.15,0.85,0.484966478,0.510253627,3.634757697,0.24,pyrethroid_pbo
0.16,0.84,0.484041784,0.511115846,3.621707328,0.24,pyrethroid_pbo
0.17,0.83,0.483206634,0.511894192,3.608534632,0.24,pyrethroid_pbo
0.18,0.82,0.482275228,0.512761817,3.595003558,0.24,pyrethroid_pbo
0.19,0.81,0.481396097,0.513580341,3.58163561,0.24,pyrethroid_pbo
0.2,0.8,0.480516877,0.514398537,3.568013981,0.24,pyrethroid_pbo
0.21,0.79,0.479353042,0.515480964,3.553723773,0.24,pyrethroid_pbo
0.22,0.78,0.478320272,0.516440891,3.539547194,0.24,pyrethroid_pbo
0.23,0.77,0.477293204,0.517394952,3.525238229,0.24,pyrethroid_pbo
0.24,0.76,0.476841646,0.517814231,3.510754547,0.24,pyrethroid_pbo
0.25,0.75,0.476045847,0.518552873,3.49642014,0.24,pyrethroid_pbo
